candidateId,value,universidad homologada
630665b8594e18004af04a18,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04a1e,Certus,Certus
630665b8594e18004af04a24,Certus,Certus
630665b8594e18004af04a2b,I.e.s.t.p John Von Neumann,I.e.s.t.p John Von Neumann
630665b8594e18004af04a33,Cepeban,Cepeban
630665b8594e18004af04a33,Computron,Computron
630665b8594e18004af04a3a,Universidad Cesar Vallejo,Universidad Cesar Vallejo
630665b8594e18004af04a41,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04a41,Icpna,Icpna
630665b8594e18004af04a4c,Cepeban,Cepeban
630665b8594e18004af04a54,Certus,Certus
630665b8594e18004af04a5a,Universidad Tecnológica Del Perú,Universidad Tecnológica del Perú S.A.C.
630665b8594e18004af04a61,Zegel Ipae,Zegel Ipae
630665b8594e18004af04a68,Universidad San Ignacio De Loyola,Universidad San Ignacio de Loyola S.R.L.
630665b8594e18004af04a71,Certus,Certus
630665b8594e18004af04a71,Instituto Telesup,Instituto Telesup
630665b8594e18004af04a71,Intur Perú - Telesup,Intur Perú - Telesup
630665b8594e18004af04a7c,Universidad Inca Garcilaso De La Vega - Uigv,Universidad Inca Garcilaso De La Vega - Uigv
630665b8594e18004af04a89,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04a90,Idat,Idat
630665b8594e18004af04a97,I.e.leoncio Prado,I.e.leoncio Prado
630665b8594e18004af04aa0,Universidad César Vallejo,Universidad César Vallejo
630665b8594e18004af04aa7,Universidad Privada Antenor Orrego,Universidad Privada Antenor Orrego
630665b8594e18004af04aaf,Universidad Ricardo Palma,Universidad Ricardo Palma
630665b8594e18004af04ab6,Universidad Tecnológica Del Perú,Universidad Tecnológica del Perú S.A.C.
630665b8594e18004af04ab6,I.e.p. Fray Luis De León,I.e.p. Fray Luis De León
630665b8594e18004af04ac5,Universidad Nacional Daniel Alcides Carrión,Universidad Nacional Daniel Alcides Carrión
630665b8594e18004af04acf,Universidad Cesar Vallejo,Universidad Cesar Vallejo
630665b8594e18004af04ad6,Certus,Certus
630665b8594e18004af04add,Certus,Certus
630665b8594e18004af04af5,Universidad Católica Sedes Sapientiae,Universidad Católica Sedes Sapientiae
630665b8594e18004af04afd,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04b05,Universidad Autónoma Del Perú,Universidad Autónoma del Perú S.A.C.
630665b8594e18004af04b0c,Certus,Certus
630665b8594e18004af04b13,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04b1e,Pontificia Universidad Católica Del Perú,Pontificia Universidad Católica del Perú
630665b8594e18004af04b26,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04b2c,Iestp Simón Bolivar,Iestp Simón Bolivar
630665b8594e18004af04b38,Certus,Certus
630665b8594e18004af04b40,Senati(independencia),Senati(independencia)
630665b8594e18004af04b46,Certus,Certus
630665b8594e18004af04b4c,Instituto Certus,Instituto Certus
630665b8594e18004af04b54,Senati,Senati
630665b8594e18004af04b5c,Universidad César Vallejo,Universidad César Vallejo
630665b8594e18004af04b63,Certus,Certus
630665b8594e18004af04b69,Alas Peruanas,Alas Peruanas
630665b8594e18004af04b71,Universidad César Vallejo​,Universidad César Vallejo​
630665b8594e18004af04b77,Certus,Certus
630665b8594e18004af04b7e,Universidad Cesar Vallejo,Universidad Cesar Vallejo
630665b8594e18004af04b84,Britanico,Britanico
630665b8594e18004af04b90,Universidad Peruana Los Andes,Universidad Peruana Los Andes
630665b8594e18004af04b9a,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04ba2,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04ba9,Certus,Certus
630665b8594e18004af04bb3,Certus,Certus
630665b8594e18004af04bbb,Usil,Usil
630665b8594e18004af04bbb,Isil,Isil
630665b8594e18004af04bc5,Certus,Certus
630665b8594e18004af04bcc,Instituto Cibertec,Instituto Cibertec
630665b8594e18004af04bda,Universidad Peruana De Ciencias Aplicadas,Universidad Peruana de Ciencias Aplicadas S.A.C.
630665b8594e18004af04be1,Zegel Ipae,Zegel Ipae
630665b8594e18004af04be1,Instituto Tecnologico De Chile,Instituto Tecnologico De Chile
630665b8594e18004af04bf4,Ifb Certus,Ifb Certus
630665b8594e18004af04bfa,Upn,Upn
630665b8594e18004af04c00,Icpna,Icpna
630665b8594e18004af04c00,Torre Usil,Torre Usil
630665b8594e18004af04c08,Universidad Tecnológica Del Perú,Universidad Tecnológica del Perú S.A.C.
630665b8594e18004af04c10,Universidad Tecnologica Del Peru,Universidad Tecnologica Del Peru
630665b8594e18004af04c19,Certus,Certus
630665b8594e18004af04c28,Universidad César Vallejo,Universidad César Vallejo
630665b8594e18004af04c2e,Certus,Certus
630665b8594e18004af04c35,Certus,Certus
630665b8594e18004af04c3d,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04c45,Ibp  El Buen Pastor,Ibp  El Buen Pastor
630665b8594e18004af04c4c,Cibertec,Cibertec
630665b8594e18004af04c55,Icpna,Icpna
630665b8594e18004af04c55,Universidad Tecnológica Del Perú,Universidad Tecnológica del Perú S.A.C.
630665b8594e18004af04c5f,Ifb Certus,Ifb Certus
630665b8594e18004af04c65,Universidad Cesar Vallejo - Ucv,Universidad Cesar Vallejo - Ucv
630665b8594e18004af04c6e,Instituto Cibertec,Instituto Cibertec
630665b8594e18004af04c77,Universidad Privada Del Norte,Universidad Privada del Norte S.A.C.
630665b8594e18004af04c7f,Cetpro Computec Millenium,Cetpro Computec Millenium
630665b8594e18004af04c86,Universidad Nacional Del Callao - Unac,Universidad Nacional del Callao
630665b8594e18004af04c8f,Pucp,Pucp
630665b8594e18004af04c96,Universidad Autònoma Del Perù,Universidad Autónoma del Perú S.A.C.
630665b8594e18004af04c96,Instituto Superior Tecnológico Público Julio César Tello,Instituto Superior Tecnológico Público Julio César Tello
630665b8594e18004af04c9d,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04ca5,Universidad Autónoma Del Perú,Universidad Autónoma del Perú S.A.C.
630665b8594e18004af04ca5,Iep San José De Los Balnearios Del Sur,Iep San José De Los Balnearios Del Sur
630665b8594e18004af04cb1,Cesca,Cesca
630665b8594e18004af04cb8,Isil,Isil
630665b8594e18004af04cc1,Universidad Andina Néstor Cáceres Velasquez,Universidad Andina Néstor Cáceres Velasquez
630665b8594e18004af04cc9,Icpna,Icpna
630665b8594e18004af04cc9,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
630665b8594e18004af04cd1,Universidad Nacional Federico Villareal,Universidad Nacional Federico Villarreal
630665b8594e18004af04cd1,Icpna,Icpna
630665b8594e18004af04cd8,Ipae,Ipae
630665b8594e18004af04cd8,Jose De San Martin,Jose De San Martin
630665b8594e18004af04ce2,César Vallejo - Lima,César Vallejo - Lima
630665b8594e18004af04cef,Universidad Científica Del Sur,Universidad Científica del Sur S.A.C.
630665b8594e18004af04cef,Adex,Adex
630665b8594e18004af04cfb,Instituto Arzobispo Loayza,Instituto Arzobispo Loayza
630665b8594e18004af04cfb,Universidad Cesar Vallejo,Universidad Cesar Vallejo
630665b8594e18004af04d04,Adex Instituto,Adex Instituto
630665b8594e18004af04d0b,Idat,Idat
630665b8594e18004af04d15,Universidad San Ignacio De Loyola - Usil,Universidad San Ignacio De Loyola - Usil
